ticker,date,open,high,low,close,volume
MMM,2025-04-07,121.8429,131.2598,119.1566,125.5745,7174700
MMM,2025-04-08,129.1791,130.7713,121.9308,124.2167,5496800
MMM,2025-04-09,122.1067,136.0073,120.5828,135.1184,6428100
MMM,2025-04-10,132.6078,132.6469,125.7015,129.8922,4757100
MMM,2025-04-11,130.0485,133.3307,128.6125,132.8032,3337600
MMM,2025-04-14,134.9132,135.089,131.3184,132.8618,3815800
MMM,2025-04-15,132.8618,134.288,132.012,132.1292,2541700
MMM,2025-04-16,130.4197,131.3672,126.8639,127.4403,5635500
MMM,2025-04-17,127.3231,129.8726,127.0691,127.1961,4952000
MMM,2025-04-21,126.0141,126.8346,121.7648,123.1714,5971800
MMM,2025-04-22,130.2048,134.0926,127.3426,133.1744,7943800
MMM,2025-04-23,136.1538,138.8597,132.0706,132.9106,4655800
MMM,2025-04-24,132.5004,136.525,131.9924,135.6654,2921100
MMM,2025-04-25,135.7826,135.7826,133.9266,134.1415,2141300
MMM,2025-04-28,134.1415,135.2063,132.8911,134.7374,2499900
MMM,2025-04-29,134.3173,135.9975,133.6726,135.177,1917200
MMM,2025-04-30,134.4443,136.0854,131.7287,135.6947,3062800
MMM,2025-05-01,135.0793,137.0037,134.4834,134.7081,2236300
MMM,2025-05-02,136.7594,139.7291,136.0659,138.7913,2734200
MMM,2025-05-05,137.3651,138.5862,136.6325,137.541,2623500
MMM,2025-05-06,135.9096,136.4762,134.4443,134.8253,2850000
MMM,2025-05-07,135.0695,136.5543,134.5127,135.4309,2555400
MMM,2025-05-08,136.7595,139.0648,135.9878,137.8535,2899500
MMM,2025-05-09,137.9903,139.3188,137.6972,139.2993,2634100
MMM,2025-05-12,142.7085,147.329,141.9075,146.8504,4974800
MMM,2025-05-13,147.3192,148.2375,146.6941,147.2509,3455700
MMM,2025-05-14,147.2606,147.2802,143.5584,144.4571,3778700
MMM,2025-05-15,142.9429,145.727,141.9954,145.2972,4472100
MMM,2025-05-16,145.9712,149.7321,145.5023,149.566,4204500
MMM,2025-05-19,148.4328,150.6894,147.6123,150.5722,2613600
MMM,2025-05-20,149.7125,151.1485,149.7028,150.5819,2529700
MMM,2025-05-21,148.7943,149.6246,145.8735,145.9419,2661800
MMM,2025-05-22,146.2545,147.0848,144.2617,146.3131,2862800
MMM,2025-05-23,144.7425,145.9597,144.3105,144.9093,2369800
MMM,2025-05-27,147.2456,147.2456,143.967,146.745,3155300
MMM,2025-05-28,146.902,147.2456,145.4689,145.9302,2297500
MMM,2025-05-29,147.118,147.599,145.459,146.8824,2621400
MMM,2025-05-30,145.999,146.7057,144.8897,145.6259,5339800
MMM,2025-06-02,145.1547,145.5769,141.2675,143.7117,2825700
MMM,2025-06-03,143.6234,145.6358,142.5436,145.41,2343300
MMM,2025-06-04,146.1757,146.2149,144.0161,144.1142,2346900
MMM,2025-06-05,144.34,144.5559,142.2295,143.5743,3568300
MMM,2025-06-06,145.2824,145.7339,142.7694,142.8283,2297100
MMM,2025-06-09,142.8774,143.3485,140.0502,141.5816,3401900
MMM,2025-06-10,141.5914,142.6418,140.5214,142.3963,3129200
MMM,2025-06-11,142.3767,145.3315,141.7681,144.4774,2904400
MMM,2025-06-12,143.7314,144.5658,141.8368,142.1117,2069700
MMM,2025-06-13,140.5018,141.7976,139.1275,139.7067,2450400
MMM,2025-06-16,141.0417,142.7203,140.8748,142.4062,1681300
MMM,2025-06-17,141.4147,142.2197,139.3631,139.5987,1739900
MMM,2025-06-18,139.5201,141.0319,138.9704,139.8932,2629100
MMM,2025-06-20,140.6785,141.4049,139.2159,141.3853,5566700
MMM,2025-06-23,141.7386,145.0075,140.7177,144.8897,2904700
MMM,2025-06-24,145.9106,147.5303,145.2922,147.118,2700500
MMM,2025-06-25,146.9511,147.1082,144.4185,145.037,2378000
MMM,2025-06-26,144.978,148.3352,144.605,147.9917,2740100
MMM,2025-06-27,148.3647,150.0629,147.7953,149.2285,3938200
MMM,2025-06-30,149.4838,149.6605,148.2273,149.4445,2302800
MMM,2025-07-01,149.2089,153.2238,148.6396,150.9857,3781900
MMM,2025-07-02,151.3783,152.5956,150.3967,151.1427,2864700
MMM,2025-07-03,151.4176,152.1538,146.7548,150.1317,3182900
MMM,2025-07-07,149.9942,151.6335,148.1782,149.0518,3877000
MMM,2025-07-08,148.9439,151.7808,148.7476,150.917,3252200
MMM,2025-07-09,151.5452,153.7735,151.0151,153.1158,2855900
MMM,2025-07-10,153.2435,156.5418,153.0962,154.4312,4043400
MMM,2025-07-11,153.1845,153.6754,151.9771,152.9784,2401300
MMM,2025-07-14,152.733,155.2067,152.0753,155.0104,2961300
MMM,2025-07-15,155.0104,155.3736,153.1649,153.7146,3058900
MMM,2025-07-16,154.7257,154.7846,152.0066,154.6668,3194600
MMM,2025-07-17,154.3723,156.5418,153.911,156.1196,5024200
MMM,2025-07-18,159.5554,161.1358,147.4911,150.4163,11701900
MMM,2025-07-21,149.4543,150.8286,146.5978,150.0139,5194000
MMM,2025-07-22,150.1709,151.2311,147.5598,148.4236,4927800
MMM,2025-07-23,149.1304,149.847,147.0493,148.0506,4976700
MMM,2025-07-24,147.2456,148.512,145.0959,146.5585,4860900
MMM,2025-07-25,147.2456,148.6199,146.4603,148.4923,2818000
MMM,2025-07-28,147.8346,151.0544,147.3929,149.258,3970300
MMM,2025-07-29,149.6016,150.2887,148.3745,149.0028,3918100
MMM,2025-07-30,149.6801,149.6997,143.8099,143.9277,3529500
MMM,2025-07-31,143.5056,146.8137,142.8872,146.48,4390400
MMM,2025-08-01,143.8099,144.0259,141.6012,141.7583,4074400
MMM,2025-08-04,142.7203,145.459,142.3374,145.1547,3641300
MMM,2025-08-05,145.7339,148.4432,145.2824,147.334,3743900
MMM,2025-08-06,147.5107,148.6101,145.9106,148.0506,2636900
MMM,2025-08-07,149.1893,149.6801,147.226,148.9537,2293900
MMM,2025-08-08,149.6016,150.8679,148.6396,150.485,2376400
MMM,2025-08-11,150.9268,152.7526,150.3476,152.4581,3354500
MMM,2025-08-12,152.9293,155.5503,152.7526,154.9515,2748200
MMM,2025-08-13,155.4816,157.5234,153.7441,157.2583,3132000
MMM,2025-08-14,156.6694,157.1307,153.7539,153.7735,6344900
MMM,2025-08-15,154.4803,154.4803,148.8261,149.5918,3921100
MMM,2025-08-18,149.5623,152.5759,149.3954,150.0531,2585500
MMM,2025-08-19,150.0335,152.8606,149.258,151.5059,2146200
MMM,2025-08-20,151.29,152.4876,150.3574,151.9084,3258200
MMM,2025-08-21,151.5354,152.36,150.3378,151.5452,2236900
MMM,2025-08-22,152.89,156.1883,152.1538,155.8055,1958200
MMM,2025-08-25,155.411,155.7365,153.6458,153.6951,1606300
MMM,2025-08-26,153.6064,154.5531,152.4427,154.4052,2960600
MMM,2025-08-27,153.8825,155.0462,153.5965,154.3657,2155000
MMM,2025-08-28,155.5787,156.2789,154.415,155.3815,2982200
MMM,2025-08-29,155.4209,156.0521,153.1724,153.3795,3279100
MMM,2025-09-02,151.8214,152.3539,149.6025,152.1369,2745100
MMM,2025-09-03,151.3776,151.9594,148.35,149.8983,3964400
MMM,2025-09-04,150.0956,153.4486,149.9181,153.3697,2741200
MMM,2025-09-05,153.6458,155.3815,152.1468,153.1527,2053300
MMM,2025-09-08,152.4723,152.8371,149.8984,151.8707,2715500
MMM,2025-09-09,152.0186,152.0186,149.4546,150.9634,1669200
MMM,2025-09-10,151.0423,153.0639,150.352,151.4466,2811600
MMM,2025-09-11,151.6636,157.2946,151.279,157.265,3663900
MMM,2025-09-12,156.91,159.8587,155.628,155.6872,2865100
MMM,2025-09-15,155.8154,156.1901,153.1034,154.4939,3219500
MMM,2025-09-16,154.7306,155.3026,151.5058,154.3361,2208600
MMM,2025-09-17,154.3361,156.3479,151.417,153.0146,2757300
MMM,2025-09-18,153.0048,154.7503,152.1764,153.2513,1795000
MMM,2025-09-19,153.7543,155.2336,152.5512,154.4348,6507100
MMM,2025-09-22,153.4486,153.557,151.5157,151.7326,2484800
MMM,2025-09-23,151.7129,155.9534,151.7129,154.129,2254000
